product_clean,meddra_pt,first_signal_yq,first_signal_idx,max_cusum
EXEMPTION 4,Dyspepsia,2013-Q3,47,6.25789473684211
EXEMPTION 4,Fracture,2005-Q2,14,6.24736842105263
EXEMPTION 4,Hospitalisation,2004-Q3,11,16.2907297715056
EXEMPTION 4,Rectal Haemorrhage,2005-Q4,16,6.05263157894737
EXEMPTION 4,Vaginal Haemorrhage,2005-Q2,14,5.53684210526316
EXTENZE PLUS,Nausea,2021-Q1,77,5.18421052631579
FLINTSTONES COMPLETE (MULTIVITAMINS) CHEWABLE TABLET,Drug Dependence,2012-Q3,43,10.4526315789474
FLINTSTONES COMPLETE MULTIVITAMINS CHEWABLE TABLET,Dependence,2012-Q2,42,8.86842105263158
FLINTSTONES COMPLETE MULTIVITAMINS CHEWABLE TABLET,Drug Dependence,2012-Q1,41,11.0526315789474
FLINTSTONES GUMMIES (MULTIVITAMINS),Dependence,2012-Q3,43,10.1210526315789
FLINTSTONES GUMMIES (MULTIVITAMINS),Drug Dependence,2012-Q4,44,6.81052631578947
FLORASTOR,Fungaemia,2025-Q1,93,5.43684210526316
FLORASTOR (SACCHAROMYCES BOULARDII LYOPHILISED),Fungaemia,2021-Q4,80,9.14419650960045
GARCINIA CAMBOGIA,Alanine Aminotransferase Increased,2015-Q3,55,5.21578947368421
GARCINIA CAMBOGIA,Aspartate Aminotransferase Increased,2015-Q3,55,5.21578947368421
GRIPE WATER NIGHTTIME,Choking,2024-Q4,92,11.0894736842105
GRIPE WATER ORIGINAL,Choking,2025-Q1,93,9.49473684210526
GUNDRY MD TOTAL RESTORE,Hospitalisation,2025-Q2,94,5.62105263157895
HYDROXYCUT,Abdominal Pain,2009-Q2,30,8.6
HYDROXYCUT,Asthenia,2009-Q2,30,9.22505984593252
HYDROXYCUT,Blood Bilirubin Increased,2009-Q3,31,5.72631578947368
HYDROXYCUT,Chromaturia,2009-Q2,30,6.70526315789474
HYDROXYCUT,Fatigue,2009-Q2,30,8.94178517752963
HYDROXYCUT,Hepatic Enzyme Increased,2009-Q2,30,6.08947368421053
HYDROXYCUT,Hepatic Function Abnormal,2009-Q2,30,6.78947368421053
HYDROXYCUT,Hepatocellular Injury,2009-Q2,30,6.81052631578947
HYDROXYCUT,Jaundice,2009-Q2,30,8.55789473684211
HYDROXYCUT,Liver Function Test Abnormal,2009-Q2,30,9.67002998362907
HYDROXYCUT,Nausea,2009-Q2,30,9.77914044909731
HYDROXYCUT,Pruritus,2009-Q2,30,8.72631578947368
HYDROXYCUT CAFFEINE-FREE CAPLETS,Liver Function Test Abnormal,2011-Q2,38,8.74736842105263
HYDROXYCUT HARDCORE,Fatigue,2009-Q2,30,5.85263157894737
