product_clean,base_name,n_signals,total_cases
"CENTRUM SILVER ADULTS 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",CENTRUM SILVER,7,134
"CENTRUM SILVER MEN'S 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",CENTRUM SILVER,7,98
"CENTRUM SILVER ULTRA WOMEN'S (MULTIMINERALS, MULTIVITAMINS) TABLET",CENTRUM SILVER,7,250
"CENTRUM SILVER WOMENS 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",CENTRUM SILVER,7,119
CENTRUM SILVER,CENTRUM SILVER,6,55
CENTRUM SILVER ULTRA WOMEN'S MULTIMINERALS MULTIVITAMINS TABLET,CENTRUM SILVER,6,77
"CENTRUM SILVER WOMEN'S 50 + (MULTIMINERALS, MULTIVITAMINS) TABLET",CENTRUM SILVER,6,53
CENTRUM SILVER WOMENS 50+ MULTIMINERALS MULTIVITAMIN,CENTRUM SILVER,6,147
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) CHEWABLE TABLET",CENTRUM SILVER,5,32
CENTRUM SILVER ADULTS 50+,CENTRUM SILVER,5,37
CENTRUM SILVER WOMEN 50+,CENTRUM SILVER,5,65
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS)",CENTRUM SILVER,4,19
CENTRUM SILVER ADULTS 50+ MULTIMINERALS MULTIVITAMIN,CENTRUM SILVER,4,38
CENTRUM SILVER MULTIMINERALS MULTIVITAMINS TABLET,CENTRUM SILVER,4,67
"CENTRUM SILVER MULTIMINERALS, MULTIVITAMINS TABLET",CENTRUM SILVER,4,19
CENTRUM SILVER ULTRA WOMEN'S,CENTRUM SILVER,4,68
CENTRUM SILVER ULTRA WOMENS MULTIMINERAL MULTIVITAMINS TABLET,CENTRUM SILVER,4,44
"CENTRUM SILVER WOMEN'S 50 PLUS (MULTIMINERALS, MULTIVITAMINS) TABLET",CENTRUM SILVER,4,27
CENTRUM SILVER WOMEN'S 50 PLUS MULTIMINERALS MULTIVITAMINS TABLET,CENTRUM SILVER,4,35
"CENTRUM SILVER WOMEN'S 50+ MULTIMINERALS, MULTIVITAMINS TABLET",CENTRUM SILVER,4,105
"CENTRUM SILVER ADULTS 50+(MULTIMINERALS, MULTIVITAMINS) TABLET",CENTRUM SILVER,3,25
CENTRUM SILVER MEN'S 50+ MULTIMINERALS MULTIVITAMINS TABLET,CENTRUM SILVER,3,13
"CENTRUM SILVER MEN'S 50+ MULTIMINERALS, MULTIVITAMINS TABLET",CENTRUM SILVER,3,11
CENTRUM SILVER MULTIMINERALS MULTIVITAMINS,CENTRUM SILVER,3,28
CENTRUM SILVER MULTIMINERALS MULTIVITAMINS CHEWABLE TABLET,CENTRUM SILVER,3,11
CENTRUM SILVER WOMEN'S 50+ (MULTIMINERALS MULTIVITAMINS) TABLET,CENTRUM SILVER,3,37
"CENTRUM SILVER WOMEN'S 50+(MULTIMINERALS, MULTIVITAMINS) TABLET",CENTRUM SILVER,3,46
CENTRUM SILVER WOMENS 50 MULTIMINERALS MULTIVITAMINS TABLET,CENTRUM SILVER,3,25
CENTRUM SILVER WOMENS 50 PLUS MULTIMINERALS MULTIVITAMINS TABLET,CENTRUM SILVER,3,17
CENTRUM SILVER ADULTS 50+ MULTIMINERALS MULTIVITAMINS TABLET,CENTRUM SILVER,2,13
"CENTRUM SILVER ADULTS 50+ MULTIMINERALS, MULTIVITAMINS TABLET",CENTRUM SILVER,2,10
CENTRUM SILVER ADULTS 50+ TABLET,CENTRUM SILVER,2,8
CENTRUM SILVER MEN 50 PLUS,CENTRUM SILVER,2,21
"CENTRUM SILVER MENS 50 + (MULTIMINERALS, MULTIVITAMINS) TABLET",CENTRUM SILVER,2,6
"CENTRUM SILVER ULTRA MEN'S (MULTIMINERALS, MULTIVITAMINS) TABLET",CENTRUM SILVER,2,12
