product_clean,meddra_pt,in_era1,in_era2,a,prr,n_methods
SUPER BETA PROSTATE,Haematuria,FALSE,TRUE,10,9.79799513973269,4
SUPER BETA PROSTATE P3 ADVANCED,Hypertension,FALSE,TRUE,10,3.77262718407733,4
AGELESS MALE MAX,Hypertension,FALSE,TRUE,9,8.95108695652174,4
ALL DAY ENERGY GREENS,Constipation,FALSE,TRUE,9,2.72213452299245,3
ARBONNE ESSENTIALS DIGESTION PLUS,Vomiting,FALSE,TRUE,9,2.23670033670034,3
ARBONNE ESSENTIALS GREENS BALANCE,Hypersensitivity,FALSE,TRUE,9,10.719024171889,4
CENTRUM SILVER,Dysphagia,FALSE,TRUE,9,2.5340576016312,3
CENTRUM SILVER WOMEN 50+,Foreign Body,FALSE,TRUE,9,2.71008574928542,3
CITRACAL MAXIMUM (CHOLECALCIFEROL + CALCIUM CITRATE) FILM-COATED TABLET,Throat Irritation,FALSE,TRUE,9,18.3029375764994,4
CITRICAL MAXIMUM,Choking,FALSE,TRUE,9,8.0456469165659,4
EMERGEN-C,Diabetes Mellitus,FALSE,TRUE,9,24.2121550324675,4
GUNDRY MD TOTAL RESTORE,Hospitalisation,FALSE,TRUE,9,22.981094049904,4
KRATOM,Hallucination,FALSE,TRUE,9,2.87857317073171,3
KRATOM,Obesity,FALSE,TRUE,9,118.0215,4
KRATOM,Visceral Congestion,FALSE,TRUE,9,Inf,4
MODERE BURN,Blood Pressure Increased,FALSE,TRUE,9,2.84924892703863,3
NUTRAFOL WOMENS BALANCE HAIR GROWTH NUTRACEUTICAL,Abdominal Pain Upper,FALSE,TRUE,9,2.14791126943005,3
NUTRAFOL WOMENS BALANCE HAIR GROWTH NUTRACEUTICAL,Aspartate Aminotransferase Increased,FALSE,TRUE,9,16.1511769480519,4
NUTRAFOL WOMENS BALANCE HAIR GROWTH NUTRACEUTICAL,Palpitations,FALSE,TRUE,9,3.82070852534562,3
OAD WOMEN'S 50+ MINIGELS COMPLETE MULTIVITAMIN,Foreign Body,FALSE,TRUE,9,14.3075268817204,4
OCUVITE ADULT 50+,Foreign Body,FALSE,TRUE,9,3.24547898338221,3
ONE A DAY ESSENTIAL (MULTIVITAMINS) TABLET,Dysphagia,FALSE,TRUE,9,14.4953389830508,4
ONE A DAY MEN'S MEN'S HEALTH FORMULA,Foreign Body,FALSE,TRUE,9,11.2937181663837,4
ONE A DAY MENS 50 PLUS HEATHLY ADVANTAGE,Choking,FALSE,TRUE,9,3.01485036275695,3
ONE A DAY WOMEN'S MINIGELS COMPLETE MULTIVITAMIN,Foreign Body,FALSE,TRUE,9,8.93918010752688,4
ONE A DAY WOMEN'S PETITES,Choking,FALSE,TRUE,9,6.03332829504232,4
PLEXUS BIO CLEANSE,Diarrhoea,FALSE,TRUE,9,2.92592184920198,3
PLEXUS SLIM,Heart Rate Increased,FALSE,TRUE,9,5.4892766934558,4
PRESERVISION AREDS 2,Disease Progression,FALSE,TRUE,9,41.1891173342786,4
"PRESERVISION AREDS 2 FORMULA SOFT GELS (CAPSULE, SOFT)",Condition Aggravated,FALSE,TRUE,9,7.95804965959151,4
"PRESERVISION AREDS 2 FORMULA SOFT GELS (CAPSULE, SOFT)",Fall,FALSE,TRUE,9,9.31173851921275,4
PREVAGEN EXTRA STRENGTH,Blood Pressure Increased,FALSE,TRUE,9,3.60108425570364,3
RITUAL ESSENTIAL FOR WOMEN PRENATAL MULTIVITAMIN,Hypersensitivity,FALSE,TRUE,9,6.12170354265251,4
SUPER BETA PROSTATE,Haematemesis,FALSE,TRUE,9,3.20661659118524,3
SUPER BETA PROSTATE P3 ADVANCED,Nephrolithiasis,FALSE,TRUE,9,2.79561347743166,3
SUPER BETA VIRILITY BOOST,Cerebrovascular Accident,FALSE,TRUE,9,4.54358602806589,4
SUSTAIN,Nausea,FALSE,TRUE,9,6.93958623087622,4
TRUVY TRU,Dizziness,FALSE,TRUE,9,7.30951218023078,4
VITAMIN B6,Hypoaesthesia,FALSE,TRUE,9,23.9369936993699,4
AG1 WHOLE FOOD DIETARY SUPPLEMENT,Aspartate Aminotransferase Increased,FALSE,TRUE,8,32.6697388632873,4
ALL DAY ENERGY GREENS FRUITY,Abdominal Distension,FALSE,TRUE,8,4.66939638092722,4
ALL DAY ENERGY GREENS FRUITY,Dehydration,FALSE,TRUE,8,3.76927177737499,3
ALL DAY ENERGY GREENS?,Abdominal Pain Upper,FALSE,TRUE,8,6.80024286581664,4
ARBONNE ESSENTIALS DAILY FIBER BOOST,Pharyngeal Oedema,FALSE,TRUE,8,19.3675774134791,4
