stratum,product_clean,meddra_pt,a,expected,prr,ror,eb05,ic,ic025,n_methods,robust_signal,ror_lower
Age 18-39,HYDROXYCUT,Chromaturia,9,1.70679924751411,5.55373772967531,6.35328314997105,1.48496601056295,2.10597211979752,1.47047015910246,4,TRUE,3.17358695595565
Age 18-39,HYDROXYCUT,Hepatocellular Injury,9,0.642972319269014,16.5404797601199,19.0234230532155,2.87232375023635,3.05513704894359,2.41963508824853,4,TRUE,9.14528700233202
Age 18-39,HYDROXYCUT,Pruritus,9,4.40728298844397,2.06755997001499,2.29476531644038,0.124265531767834,0.953003043697774,0.317501083002709,3,TRUE,1.16095315780407
Age 18-39,HYDROXYCUT HARDCORE CAPSULES,Liver Injury,9,0.983606557377049,9.81081081081081,11.7992312620115,2.27068842616938,2.67881896392327,2.0433170032282,4,TRUE,5.76681105806584
Age 18-39,HYDROXYCUT MAX LIQUID CAPS,Liver Function Test Abnormal,9,0.393039505509272,23.958064516129,56.749226644669,3.56118551978577,3.41113161087733,2.77562965018226,4,TRUE,20.7058085312951
Age 18-39,HYDROXYCUT REGULAR RAPID RELEASE CAPLETS,Hepatocellular Injury,9,0.916420317119054,11.546633941094,12.8638923800214,2.37113703806832,2.74567807045027,2.1101761097552,4,TRUE,6.25118778333524
Age 18-39,KRATOM,Cardiomegaly,9,0.647675356087073,24.4470011316484,25.5482935951379,2.86205366056411,3.04921291010594,2.41371094941087,4,TRUE,10.7121881731457
Age 18-39,OXYELITE PRO,Abdominal Pain,9,3.24751410911045,2.80976537729867,3.28605456101827,0.563033316403178,1.34199360362125,0.70649164292619,3,TRUE,1.62787357396676
Age 18-39,OXYELITE PRO,Chromaturia,9,1.11824778285407,8.51133307721859,10.325885660731,2.08827170856621,2.55349498619148,1.91799302549642,4,TRUE,5.04840811107556
Age 18-39,OXYELITE PRO,Hepatic Enzyme Increased,9,1.26377317925289,7.4746963562753,9.04848325153981,1.91402389587698,2.42926247080619,1.79376051011112,4,TRUE,4.43438628625274
Age 18-39,RITUAL ESSENTIAL FOR WOMEN PRENATAL MULTIVITAMIN,Gastrointestinal Disorder,9,0.241870464928783,42.3828571428572,66.6836077308518,4.2281467069676,3.67868830277742,3.04318634208236,4,TRUE,28.9150339598707
Age 18-39,SUSTAIN,Nausea,9,1.66729373824241,5.43658536585366,16.9540293933273,1.51844663406843,2.13203281502503,1.49653085432996,4,TRUE,4.96881460377316
Age 18-39,ARBONNE ESSENTIALS DIGESTION PLUS,Dyspnoea,8,2.30905670518678,3.4924670433145,4.8792155856376,0.819864878277718,1.59737709344461,0.925486673915266,3,TRUE,2.12518239018444
Age 18-39,ARBONNE ESSENTIALS HERBAL DETOX TEA,Hypersensitivity,8,1.0932545014781,7.43143143143143,12.7128930312282,1.88798945637174,2.41548610439738,1.74359568486803,4,TRUE,5.12030712829529
Age 18-39,ARBONNE ESSENTIALS PROTEIN SHAKE MIX - CHOCOLATE,Hypersensitivity,8,1.27546358505778,6.36722436722437,9.8835562221389,1.66845171811718,2.25926707041289,1.58737665088354,4,TRUE,4.1675484122023
Age 18-39,ARBONNE ESSENTIALS PROTEIN SHAKE MIX - VANILLA,Hypersensitivity,8,1.27546358505778,6.36722436722437,9.8835562221389,1.66845171811718,2.25926707041289,1.58737665088354,4,TRUE,4.1675484122023
Age 18-39,BURN,Diarrhoea,8,1.28836334318732,6.28438425730004,11.0447344777037,1.65410558501228,2.24882296146262,1.57693254193328,4,TRUE,4.36033317708121
Age 18-39,EXEMPTION 4,Alanine Aminotransferase Increased,8,3.52055898951895,2.32538167938931,2.54548609285451,0.214644124992667,1.08006674398974,0.408176324460396,3,TRUE,1.2519540383074
